Time,Rainfall ,Soil moisture ,Ambient temp ,Depth ,,,,
4/25/2013 23:00,0,0.5896,25.3,30,,,,
4/26/2013 0:00,0,0.5894,25.2,30,,,,
4/26/2013 1:00,0,0.5889,25.1,30,,,,
4/26/2013 2:00,0,0.5887,25,30,,,,
4/26/2013 3:00,0,0.5886,24.9,30,,,,
4/26/2013 4:00,0,0.5886,24.7,30,,,,
4/26/2013 5:00,0.2,0.5886,24.6,30,,,,
4/26/2013 6:00,0,0.5884,24.4,30,,,,
4/26/2013 7:00,0,0.5882,24.3,30,,,,
4/26/2013 8:00,0,0.5881,24.2,30,,,,
4/26/2013 9:00,0,0.5878,24.2,30,,,,
4/26/2013 10:00,0,0.5877,24.2,30,,,,
4/26/2013 11:00,0,0.5874,24.3,30,,,, 
4/26/2013 12:00,0,0.5871,24.5,30,,,,
4/26/2013 13:00,0,0.5868,24.7,30,,,,
4/26/2013 14:00,0,0.5864,25,30,,,,
4/26/2013 15:00,0,0.5861,25.2,30,,,,
4/26/2013 16:00,0,0.5868,25.4,30,,,,
4/26/2013 17:00,0,0.5868,25.6,30,,,,
4/26/2013 18:00,0,0.587,25.7,30,,,,
4/26/2013 19:00,0,0.5875,25.7,30,,,,
4/26/2013 20:00,0,0.5873,25.7,30,,,,
4/26/2013 21:00,0,0.5871,25.7,30,,,,
4/26/2013 22:00,0,0.5871,25.5,30,,,,
4/26/2013 23:00,0,0.5872,25.5,30,,,,
4/27/2013 0:00,0,0.5873,25.4,30,,,,
4/27/2013 1:00,0,0.5871,25.4,30,,,,
4/27/2013 2:00,0,0.5869,25.2,30,,,,
4/27/2013 3:00,0,0.5869,25.2,30,,,,
4/27/2013 4:00,0,0.5871,25,30,,,,
4/27/2013 5:00,0,0.5871,24.9,30,,,,
4/27/2013 6:00,0,0.5873,24.9,30,,,,
4/27/2013 7:00,0,0.5873,24.7,30,,,,
4/27/2013 8:00,0,0.5871,24.7,30,,,,
4/27/2013 9:00,0,0.587,24.7,30,,,,
4/27/2013 10:00,0,0.5868,24.6,30,,,,
4/27/2013 11:00,0,0.5865,24.6,30,,,,
4/27/2013 12:00,0,0.5863,24.7,30,,,,
4/27/2013 13:00,0,0.5859,24.8,30,,,,
4/27/2013 14:00,0,0.5855,25,30,,,,
4/27/2013 15:00,0,0.5851,25.2,30,,,,
4/27/2013 16:00,0,0.5863,25.3,30,,,,
4/27/2013 17:00,0,0.5871,25.4,30,,,,
4/27/2013 18:00,0,0.5872,25.5,30,,,,
4/27/2013 19:00,0,0.5869,25.5,30,,,,
4/27/2013 20:00,0,0.5866,25.5,30,,,,
4/27/2013 21:00,0,0.5864,25.4,30,,,,
4/27/2013 22:00,0,0.5865,25.4,30,,,,
4/27/2013 23:00,0,0.5867,25.2,30,,,,
4/28/2013 0:00,0,0.587,25.1,30,,,,
4/28/2013 1:00,0,0.5869,25,30,,,,
4/28/2013 2:00,0,0.5867,24.9,30,,,,
4/28/2013 3:00,0,0.5868,24.7,30,,,,
4/28/2013 4:00,0,0.5869,24.6,30,,,,
4/28/2013 5:00,0,0.5872,24.5,30,,,,
4/28/2013 6:00,0,0.5873,24.4,30,,,,
4/28/2013 7:00,0,0.5873,24.2,30,,,,
4/28/2013 8:00,0,0.5871,24,30,,,,
4/28/2013 9:00,0,0.5868,24,30,,,,
4/28/2013 10:00,0,0.5868,24,30,,,,
4/28/2013 11:00,0,0.5864,24.1,30,,,,
4/28/2013 12:00,0,0.5861,24.4,30,,,,
4/28/2013 13:00,0,0.5857,24.6,30,,,,
4/28/2013 14:00,0,0.5854,24.9,30,,,,
4/28/2013 15:00,0,0.5851,25.2,30,,,,
4/28/2013 16:00,0,0.5864,25.4,30,,,,
4/28/2013 17:00,0,0.5869,25.5,30,,,,
4/28/2013 18:00,0,0.5869,25.6,30,,,,
4/28/2013 19:00,0,0.5866,25.7,30,,,,
4/28/2013 20:00,0,0.5864,25.7,30,,,,
4/28/2013 21:00,0,0.5863,25.7,30,,,,
4/28/2013 22:00,0,0.5862,25.6,30,,,,
4/28/2013 23:00,0,0.5864,25.5,30,,,,
4/29/2013 0:00,0,0.5866,25.5,30,,,,
4/29/2013 1:00,0,0.5867,25.4,30,,,,
4/29/2013 2:00,0,0.5866,25.2,30,,,,
4/29/2013 3:00,0,0.5867,25.1,30,,,,
4/29/2013 4:00,0,0.5871,25,30,,,,
4/29/2013 5:00,0,0.5877,24.9,30,,,,
4/29/2013 6:00,0,0.5877,24.7,30,,,,
4/29/2013 7:00,0,0.5877,24.7,30,,,,
4/29/2013 8:00,0,0.5875,24.6,30,,,,
4/29/2013 9:00,0,0.5873,24.5,30,,,,
4/29/2013 10:00,0,0.5872,24.5,30,,,,
4/29/2013 11:00,0,0.5869,24.7,30,,,,
4/29/2013 12:00,0,0.5868,24.8,30,,,,
4/29/2013 13:00,0,0.5867,25,30,,,,
4/29/2013 14:00,0,0.5865,25.2,30,,,,
4/29/2013 15:00,0,0.5863,25.4,30,,,,
4/29/2013 16:00,0,0.5862,25.5,30,,,,
4/29/2013 17:00,0,0.5862,25.6,30,,,,
4/29/2013 18:00,0,0.5864,25.7,30,,,,
4/29/2013 19:00,0,0.5867,25.7,30,,,,
4/29/2013 20:00,0,0.586,25.7,30,,,,
4/29/2013 21:00,0,0.586,25.7,30,,,,
4/29/2013 22:00,0,0.5865,25.6,30,,,,
4/29/2013 23:00,0,0.5862,25.5,30,,,,
4/30/2013 0:00,0,0.5858,25.4,30,,,,
4/30/2013 1:00,0,0.5855,25.3,30,,,,
