Time,Rainfall,Soil_Moisture1,Soil_Moisture2,Soil_Moisture3,Depth (cm)
25-04-2013 23:00,0,0.5896,0.545,0.3837,30
26-04-2013 0:00,0,0.5894,0.5449,0.3836,30
26-04-2013 1:00,0,0.5889,0.5449,0.3836,30
26-04-2013 2:00,0,0.5887,0.5447,0.3836,30
26-04-2013 3:00,0,0.5886,0.5447,0.3838,30
26-04-2013 4:00,0,0.5886,0.5448,0.3838,30
26-04-2013 5:00,0.2,0.5886,0.5448,0.3839,30
26-04-2013 6:00,0,0.5884,0.5449,0.3839,30
26-04-2013 7:00,0,0.5882,0.5449,0.3838,30
26-04-2013 8:00,0,0.5881,0.5452,0.3836,30
26-04-2013 9:00,0,0.5878,0.5452,0.3833,30
26-04-2013 10:00,0,0.5877,0.5448,0.3832,30
26-04-2013 11:00,0,0.5874,0.5448,0.3828,30
26-04-2013 12:00,0,0.5871,0.5445,0.3826,30
26-04-2013 13:00,0,0.5868,0.5445,0.3822,30
26-04-2013 14:00,0,0.5864,0.5442,0.382,30
26-04-2013 15:00,0,0.5861,0.5442,0.3816,30
26-04-2013 16:00,0,0.5868,0.5434,0.3814,30
26-04-2013 17:00,0,0.5868,0.5434,0.3812,30
26-04-2013 18:00,0,0.587,0.5435,0.381,30
26-04-2013 19:00,0,0.5875,0.5435,0.3811,30
26-04-2013 20:00,0,0.5873,0.5432,0.381,30
26-04-2013 21:00,0,0.5871,0.5432,0.3809,30
26-04-2013 22:00,0,0.5871,0.5431,0.381,30
26-04-2013 23:00,0,0.5872,0.5431,0.3811,30
27-04-2013 0:00,0,0.5873,0.5431,0.3813,30
27-04-2013 1:00,0,0.5871,0.5431,0.3815,30
27-04-2013 2:00,0,0.5869,0.543,0.3819,30
27-04-2013 3:00,0,0.5869,0.543,0.3822,30
27-04-2013 4:00,0,0.5871,0.5427,0.3825,30
27-04-2013 5:00,0,0.5871,0.5427,0.3827,30
27-04-2013 6:00,0,0.5873,0.5427,0.3829,30
27-04-2013 7:00,0,0.5873,0.5427,0.383,30
27-04-2013 8:00,0,0.5871,0.5424,0.3829,30
27-04-2013 9:00,0,0.587,0.5424,0.3827,30
27-04-2013 10:00,0,0.5868,0.5422,0.3826,30
27-04-2013 11:00,0,0.5865,0.5422,0.3822,30
27-04-2013 12:00,0,0.5863,0.5419,0.3819,30
27-04-2013 13:00,0,0.5859,0.5419,0.3815,30
27-04-2013 14:00,0,0.5855,0.5417,0.3812,30
27-04-2013 15:00,0,0.5851,0.5417,0.3808,30
27-04-2013 16:00,0,0.5863,0.5412,0.3803,30
27-04-2013 17:00,0,0.5871,0.5412,0.3801,30
27-04-2013 18:00,0,0.5872,0.5407,0.3801,30
27-04-2013 19:00,0,0.5869,0.5407,0.3801,30
27-04-2013 20:00,0,0.5866,0.5406,0.3801,30
27-04-2013 21:00,0,0.5864,0.5406,0.38,30
27-04-2013 22:00,0,0.5865,0.5403,0.3799,30
27-04-2013 23:00,0,0.5867,0.5403,0.38,30
28-04-2013 0:00,0,0.587,0.5403,0.3803,30
28-04-2013 1:00,0,0.5869,0.5403,0.3807,30
28-04-2013 2:00,0,0.5867,0.5411,0.3812,30
28-04-2013 3:00,0,0.5868,0.5411,0.3816,30
28-04-2013 4:00,0,0.5869,0.5414,0.3821,30
28-04-2013 5:00,0,0.5872,0.5414,0.3825,30
28-04-2013 6:00,0,0.5873,0.5409,0.3827,30
28-04-2013 7:00,0,0.5873,0.5409,0.3828,30
28-04-2013 8:00,0,0.5871,0.5403,0.3828,30
28-04-2013 9:00,0,0.5868,0.5403,0.3826,30
28-04-2013 10:00,0,0.5868,0.5396,0.3823,30
28-04-2013 11:00,0,0.5864,0.5396,0.3821,30
28-04-2013 12:00,0,0.5861,0.5392,0.3817,30
28-04-2013 13:00,0,0.5857,0.5392,0.3813,30
28-04-2013 14:00,0,0.5854,0.539,0.3809,30
28-04-2013 15:00,0,0.5851,0.539,0.3805,30
28-04-2013 16:00,0,0.5864,0.5385,0.3801,30
28-04-2013 17:00,0,0.5869,0.5385,0.3798,30
28-04-2013 18:00,0,0.5869,0.5381,0.3798,30
28-04-2013 19:00,0,0.5866,0.5381,0.3797,30
28-04-2013 20:00,0,0.5864,0.5378,0.3797,30
28-04-2013 21:00,0,0.5863,0.5378,0.3795,30
28-04-2013 22:00,0,0.5862,0.5378,0.3795,30
28-04-2013 23:00,0,0.5864,0.5378,0.3796,30
29-04-2013 0:00,0,0.5866,0.5378,0.3799,30
29-04-2013 1:00,0,0.5867,0.5378,0.3803,30
29-04-2013 2:00,0,0.5866,0.5376,0.3808,30
29-04-2013 3:00,0,0.5867,0.5376,0.3814,30
29-04-2013 4:00,0,0.5871,0.5375,0.3818,30
29-04-2013 5:00,0,0.5877,0.5375,0.3821,30
29-04-2013 6:00,0,0.5877,0.5373,0.3825,30
29-04-2013 7:00,0,0.5877,0.5373,0.3827,30
29-04-2013 8:00,0,0.5875,0.5372,0.3827,30
29-04-2013 9:00,0,0.5873,0.5372,0.3824,30
29-04-2013 10:00,0,0.5872,0.5371,0.3822,30
29-04-2013 11:00,0,0.5869,0.5371,0.3821,30
29-04-2013 12:00,0,0.5868,0.5369,0.3817,30
29-04-2013 13:00,0,0.5867,0.5369,0.3814,30
29-04-2013 14:00,0,0.5865,0.5366,0.3809,30
29-04-2013 15:00,0,0.5863,0.5366,0.3806,30
29-04-2013 16:00,0,0.5862,0.5363,0.3802,30
29-04-2013 17:00,0,0.5862,0.5363,0.3798,30
29-04-2013 18:00,0,0.5864,0.5358,0.3796,30
29-04-2013 19:00,0,0.5867,0.5358,0.3792,30
29-04-2013 20:00,0,0.586,0.5355,0.3791,30
29-04-2013 21:00,0,0.586,0.5355,0.3788,30
29-04-2013 22:00,0,0.5865,0.5351,0.3787,30
29-04-2013 23:00,0,0.5862,0.5351,0.3788,30
30-04-2013 0:00,0,0.5858,0.5352,0.3786,30
30-04-2013 1:00,0,0.5855,0.5352,0.3786,30
30-04-2013 2:00,0,0.5855,0.5363,0.3787,30
30-04-2013 3:00,0,0.5855,0.5363,0.3787,30
30-04-2013 4:00,0,0.5855,0.5363,0.3789,30
30-04-2013 5:00,0,0.5855,0.5363,0.379,30
30-04-2013 6:00,0,0.5856,0.5357,0.379,30
30-04-2013 7:00,0,0.5855,0.5357,0.379,30
30-04-2013 8:00,0,0.5855,0.5351,0.3788,30
30-04-2013 9:00,0,0.5853,0.5351,0.3786,30
30-04-2013 10:00,0,0.5851,0.5345,0.3785,30
30-04-2013 11:00,0,0.585,0.5345,0.3783,30
30-04-2013 12:00,0,0.5847,0.534,0.3781,30
30-04-2013 13:00,0,0.5846,0.534,0.378,30
30-04-2013 14:00,0,0.5842,0.5336,0.3779,30
30-04-2013 15:00,0,0.5841,0.5336,0.3776,30
30-04-2013 16:00,0,0.5841,0.5333,0.3774,30
30-04-2013 17:00,0,0.5851,0.5333,0.3773,30
